Kod_S,Kod_C,Kod_R,Nazwa,Wartosc,rok,firma
S020102,C0010,R0750,Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe),28 120,2020,Allianz
S020102,C0010,R0760,Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,751,2020,Allianz
S020102,C0010,R0770,Zobowiązania z tytułu depozytów zakładów reasekuracji,0,2020,Allianz
S020102,C0010,R0780,Rezerwy z tytułu odroczonego podatku dochodowego,116 820,2020,Allianz
S020102,C0010,R0790,Instrumenty pochodne,0,2020,Allianz
S020102,C0010,R0800,Zobowiązania wobec instytucji kredytowych,0,2020,Allianz
S020102,C0010,R0810,Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,5 331,2020,Allianz
S020102,C0010,R0820,Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych,14 334,2020,Allianz
S020102,C0010,R0830,Zobowiązania z tytułu reasekuracji biernej,0,2020,Allianz
S020102,C0010,R0840,"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",8 650,2020,Allianz
S020102,C0010,R0850,Zobowiązania podporządkowane,0,2020,Allianz
S020102,C0010,R0860,Zobowiązania podporządkowane nieuwzględnione w podstawowych środkach własnych,0,2020,Allianz
S020102,C0010,R0870,Zobowiązania podporządkowane uwzględnione w podstawowych środkach własnych,0,2020,Allianz
S020102,C0010,R0880,Pozostałe zobowiązania (niewykazane w innych pozycjach),0,2020,Allianz
S020102,C0010,R0900,Zobowiązania ogółem,1 927 644,2020,Allianz
S020102,C0010,R1000,Nadwyżka aktywów nad zobowiązaniami,874 458,2020,Allianz
S020102,C0010,R0030,Wartości niematerialne i prawne,0,2021,Allianz
S020102,C0010,R0040,Aktywa z tytułu odroczonego podatku dochodowego,0,2021,Allianz
S020102,C0010,R0050,Nadwyżka na funduszu świadczeń emerytalnych,0,2021,Allianz
S020102,C0010,R0060,"Nieruchomości, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",6 980,2021,Allianz
S020102,C0010,R0070,"Lokaty (inne niż aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i dla ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym)",888 562,2021,Allianz
S020102,C0010,R0080,Nieruchomości (inne niż do użytku własnego),0,2021,Allianz
S020102,C0010,R0090,"Udziały w jednostkach powiązanych, w tym udziały kapitałowe",0,2021,Allianz
S020102,C0010,R0100,Akcje i udziały,0,2021,Allianz
S020102,C0010,R0110,Akcje i udziały – notowane,0,2021,Allianz
S020102,C0010,R0120,Akcje i udziały – nienotowane,0,2021,Allianz
S020102,C0010,R0130,Dłużne papiery wartościowe,739 885,2021,Allianz
S020102,C0010,R0140,Obligacje państwowe,737 096,2021,Allianz
S020102,C0010,R0150,Obligacje korporacyjne,0,2021,Allianz
S020102,C0010,R0160,Strukturyzowane papiery wartościowe,2 789,2021,Allianz
S020102,C0010,R0170,Zabezpieczone papiery wartościowe,0,2021,Allianz
S020102,C0010,R0180,Jednostki uczestnictwa oraz certyfikaty inwestycyjne w przedsiębiorstwach zbiorowego inwestowania,116 750,2021,Allianz
S020102,C0010,R0190,Instrumenty pochodne,2 070,2021,Allianz
S020102,C0010,R0200,Depozyty inne niż ekwiwalenty środków pieniężnych,29 858,2021,Allianz
S020102,C0010,R0210,Pozostałe lokaty,0,2021,Allianz
S020102,C0010,R0220,"Aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",1 690 890,2021,Allianz
S020102,C0010,R0230,Pożyczki i pożyczki zabezpieczone hipotecznie,0,2021,Allianz
S020102,C0010,R0240,Pożyczki pod zastaw polisy,0,2021,Allianz
S020102,C0010,R0250,Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,0,2021,Allianz
S020102,C0010,R0260,Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,0,2021,Allianz
S020102,C0010,R0270,Kwoty należne z umów reasekuracji dla zobowiązań wynikających z:,-8 104,2021,Allianz
S020102,C0010,R0280,Ubezpieczenia inne niż ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,0,2021,Allianz
S020102,C0010,R0290,Ubezpieczeń innych niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),0,2021,Allianz
S020102,C0010,R0300,Ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,0,2021,Allianz
S020102,C0010,R0310,"Ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie, z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone",-6 547,2021,Allianz
S020102,C0010,R0320,Ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie,0,2021,Allianz
S020102,C0010,R0330,"Ubezpieczenia na życie z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",-6 547,2021,Allianz
S020102,C0010,R0340,"Ubezpieczenia na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczenia na życie z ubezpieczeniowym funduszem kapitałowym",-1 557,2021,Allianz
S020102,C0010,R0350,Depozyty u cedentów,0,2021,Allianz
S020102,C0010,R0360,Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,6 527,2021,Allianz
S020102,C0010,R0370,Należności z tytułu reasekuracji biernej,0,2021,Allianz
S020102,C0010,R0380,"Pozostałe należności (handlowe, inne niż z działalności ubezpieczeniowej)",20 204,2021,Allianz
S020102,C0010,R0390,Akcje własne (posiadane bezpośrednio),0,2021,Allianz
S020102,C0010,R0400,"Kwoty należne, dotyczące pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale które nie zostały jeszcze opłacone",0,2021,Allianz
S020102,C0010,R0410,Środki pieniężne i ekwiwalenty środków pieniężnych,5 674,2021,Allianz
S020102,C0010,R0420,Pozostałe aktywa (niewykazane w innych pozycjach),2 981,2021,Allianz
S020102,C0010,R0500,Aktywa ogółem,2 613 714,2021,Allianz
S020102,C0010,R0510,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,0,2021,Allianz
S020102,C0010,R0520,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),0,2021,Allianz
S020102,C0010,R0530,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2021,Allianz
S020102,C0010,R0540,Najlepsze oszacowanie,0,2021,Allianz
S020102,C0010,R0550,Margines ryzyka,0,2021,Allianz
S020102,C0010,R0560,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia na życie),0,2021,Allianz
S020102,C0010,R0570,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2021,Allianz
S020102,C0010,R0580,Najlepsze oszacowanie,0,2021,Allianz
S020102,C0010,R0590,Margines ryzyka,0,2021,Allianz
S020102,C0010,R0600,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",122 950,2021,Allianz
S020102,C0010,R0610,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),0,2021,Allianz
S020102,C0010,R0620,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2021,Allianz
S020102,C0010,R0630,Najlepsze oszacowanie,0,2021,Allianz
S020102,C0010,R0640,Margines ryzyka,0,2021,Allianz
S020102,C0010,R0650,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",122 950,2021,Allianz
S020102,C0010,R0660,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2021,Allianz
S020102,C0010,R0670,Najlepsze oszacowanie,84 196,2021,Allianz
S020102,C0010,R0680,Margines ryzyka,38 754,2021,Allianz
S020102,C0010,R0690,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",1 595 445,2021,Allianz
S020102,C0010,R0700,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2021,Allianz
S020102,C0010,R0710,Najlepsze oszacowanie,1 560 484,2021,Allianz
S020102,C0010,R0720,Margines ryzyka,34 961,2021,Allianz
S020102,C0010,R0740,Zobowiązania warunkowe,0,2021,Allianz
S020102,C0010,R0750,Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe),21 542,2021,Allianz
S020102,C0010,R0760,Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,139,2021,Allianz
S020102,C0010,R0770,Zobowiązania z tytułu depozytów zakładów reasekuracji,0,2021,Allianz
S020102,C0010,R0780,Rezerwy z tytułu odroczonego podatku dochodowego,99 893,2021,Allianz
S020102,C0010,R0790,Instrumenty pochodne,0,2021,Allianz
S020102,C0010,R0800,Zobowiązania wobec instytucji kredytowych,0,2021,Allianz
S020102,C0010,R0810,Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,5 123,2021,Allianz
S020102,C0010,R0820,Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych,7 500,2021,Allianz
S020102,C0010,R0830,Zobowiązania z tytułu reasekuracji biernej,0,2021,Allianz
S020102,C0010,R0840,"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",4 412,2021,Allianz
S020102,C0010,R0850,Zobowiązania podporządkowane,0,2021,Allianz
S020102,C0010,R0860,Zobowiązania podporządkowane nieuwzględnione w podstawowych środkach własnych,0,2021,Allianz
S020102,C0010,R0870,Zobowiązania podporządkowane uwzględnione w podstawowych środkach własnych,0,2021,Allianz
S020102,C0010,R0880,Pozostałe zobowiązania (niewykazane w innych pozycjach),0,2021,Allianz
S020102,C0010,R0900,Zobowiązania ogółem,1 857 004,2021,Allianz
S020102,C0010,R1000,Nadwyżka aktywów nad zobowiązaniami,756 710,2021,Allianz
S020102,C0010,R0050,Nadwyżka na funduszu świadczeń emerytalnych,0,2022,Allianz
S020102,C0010,R0060,"Nieruchomości, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",9 066,2022,Allianz
S020102,C0010,R0070,"Lokaty (inne niż aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i dla ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym)",5 853 538,2022,Allianz
S020102,C0010,R0080,Nieruchomości (inne niż do użytku własnego),0,2022,Allianz
S020102,C0010,R0090,"Udziały w jednostkach powiązanych, w tym udziały kapitałowe",1 095 513,2022,Allianz
S020102,C0010,R0100,Akcje i udziały,0,2022,Allianz
S020102,C0010,R0110,Akcje i udziały – notowane,0,2022,Allianz
S020102,C0010,R0120,Akcje i udziały – nienotowane,0,2022,Allianz
S020102,C0010,R0130,Dłużne papiery wartościowe,4 066 277,2022,Allianz
S020102,C0010,R0140,Obligacje państwowe,3 828 388,2022,Allianz
S020102,C0010,R0150,Obligacje korporacyjne,237 434,2022,Allianz
S020102,C0010,R0160,Strukturyzowane papiery wartościowe,455,2022,Allianz
S020102,C0010,R0170,Zabezpieczone papiery wartościowe,0,2022,Allianz
S020102,C0010,R0180,Jednostki uczestnictwa oraz certyfikaty inwestycyjne w przedsiębiorstwach zbiorowego inwestowania,321 740,2022,Allianz
S020102,C0010,R0190,Instrumenty pochodne,26 059,2022,Allianz
S020102,C0010,R0200,Depozyty inne niż ekwiwalenty środków pieniężnych,343 949,2022,Allianz
S020102,C0010,R0210,Pozostałe lokaty,0,2022,Allianz
S020102,C0010,R0220,"Aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",9 831 688,2022,Allianz
S020102,C0010,R0230,Pożyczki i pożyczki zabezpieczone hipotecznie,236 641,2022,Allianz
S020102,C0010,R0240,Pożyczki pod zastaw polisy,0,2022,Allianz
S020102,C0010,R0250,Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,0,2022,Allianz
S020102,C0010,R0260,Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,236 641,2022,Allianz
S020102,C0010,R0270,Kwoty należne z umów reasekuracji dla zobowiązań wynikających z:,-34 140,2022,Allianz
S020102,C0010,R0280,Ubezpieczenia inne niż ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,1 122,2022,Allianz
S020102,C0010,R0290,Ubezpieczeń innych niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),0,2022,Allianz
S020102,C0010,R0300,Ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,1 122,2022,Allianz
S020102,C0010,R0310,"Ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie, z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone",-27 876,2022,Allianz
S020102,C0010,R0320,Ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie,-11 802,2022,Allianz
S020102,C0010,R0330,"Ubezpieczenia na życie z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",-16 074,2022,Allianz
S020102,C0010,R0340,"Ubezpieczenia na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczenia na życie z ubezpieczeniowym funduszem kapitałowym",-7 386,2022,Allianz
S020102,C0010,R0350,Depozyty u cedentów,0,2022,Allianz
S020102,C0010,R0360,Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,41 013,2022,Allianz
S020102,C0010,R0370,Należności z tytułu reasekuracji biernej,1 722,2022,Allianz
S020102,C0010,R0380,"Pozostałe należności (handlowe, inne niż z działalności ubezpieczeniowej)",124 088,2022,Allianz
S020102,C0010,R0390,Akcje własne (posiadane bezpośrednio),0,2022,Allianz
S020102,C0010,R0400,"Kwoty należne, dotyczące pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale które nie zostały jeszcze opłacone",0,2022,Allianz
S020102,C0010,R0410,Środki pieniężne i ekwiwalenty środków pieniężnych,280 375,2022,Allianz
S020102,C0010,R0420,Pozostałe aktywa (niewykazane w innych pozycjach),5 208,2022,Allianz
S020102,C0010,R0500,Aktywa ogółem,16 349 199,2022,Allianz
S020102,C0010,R0510,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,75 622,2022,Allianz
S020102,C0010,R0520,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),0,2022,Allianz
S020102,C0010,R0530,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2022,Allianz
S020102,C0010,R0540,Najlepsze oszacowanie,0,2022,Allianz
S020102,C0010,R0550,Margines ryzyka,0,2022,Allianz
S020102,C0010,R0560,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia na życie),75 622,2022,Allianz
S020102,C0010,R0570,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2022,Allianz
S020102,C0010,R0580,Najlepsze oszacowanie,70 708,2022,Allianz
S020102,C0010,R0590,Margines ryzyka,4 914,2022,Allianz
S020102,C0010,R0600,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",1 497 978,2022,Allianz
S020102,C0010,R0610,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),-760 714,2022,Allianz
S020102,C0010,R0620,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2022,Allianz
S020102,C0010,R0630,Najlepsze oszacowanie,-919 139,2022,Allianz
S020102,C0010,R0640,Margines ryzyka,158 425,2022,Allianz
S020102,C0010,R0650,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",2 258 692,2022,Allianz
S020102,C0010,R0660,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2022,Allianz
S020102,C0010,R0670,Najlepsze oszacowanie,2 059 490,2022,Allianz
S020102,C0010,R0680,Margines ryzyka,199 203,2022,Allianz
S020102,C0010,R0690,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",8 199 521,2022,Allianz
S020102,C0010,R0700,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2022,Allianz
S020102,C0010,R0710,Najlepsze oszacowanie,7 858 158,2022,Allianz
S020102,C0010,R0720,Margines ryzyka,341 364,2022,Allianz
S020102,C0010,R0730,Pozostałe rezerwy techniczno-ubezpieczeniowe,0,2022,Allianz
S020102,C0010,R0740,Zobowiązania warunkowe,0,2022,Allianz
S020102,C0010,R0750,Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe),119 443,2022,Allianz
S020102,C0010,R0760,Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,14 875,2022,Allianz
S020102,C0010,R0770,Zobowiązania z tytułu depozytów zakładów reasekuracji,0,2022,Allianz
S020102,C0010,R0780,Rezerwy z tytułu odroczonego podatku dochodowego,745 967,2022,Allianz
S020102,C0010,R0790,Instrumenty pochodne,20 071,2022,Allianz
S020102,C0010,R0800,Zobowiązania wobec instytucji kredytowych,0,2022,Allianz
S020102,C0010,R0810,Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,10 700,2022,Allianz
S020102,C0010,R0820,Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych,66 121,2022,Allianz
S020102,C0010,R0830,Zobowiązania z tytułu reasekuracji biernej,6 923,2022,Allianz
S020102,C0010,R0840,"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",418 253,2022,Allianz
S020102,C0010,R0850,Zobowiązania podporządkowane,0,2022,Allianz
S020102,C0010,R0860,Zobowiązania podporządkowane nieuwzględnione w podstawowych środkach własnych,0,2022,Allianz
S020102,C0010,R0870,Zobowiązania podporządkowane uwzględnione w podstawowych środkach własnych,0,2022,Allianz
S020102,C0010,R0880,Pozostałe zobowiązania (niewykazane w innych pozycjach),48 287,2022,Allianz
S020102,C0010,R0900,Zobowiązania ogółem,11 223 761,2022,Allianz
S020102,C0010,R1000,Nadwyżka aktywów nad zobowiązaniami,5 125 437,2022,Allianz
S020102,C0010,R0030,Wartości niematerialne i prawne,0,2023,Allianz
S020102,C0010,R0040,Aktywa z tytułu odroczonego podatku dochodowego,0,2023,Allianz
S020102,C0010,R0050,Nadwyżka na funduszu świadczeń emerytalnych,0,2023,Allianz
S020102,C0010,R0060,"Nieruchomości, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",7 950,2023,Allianz
S020102,C0010,R0070,"Lokaty (inne niż aktywa posiadane z tytułu ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",5 453 556,2023,Allianz
S020102,C0010,R0080,Nieruchomości (inne niż do użytku własnego),0,2023,Allianz
S020102,C0010,R0090,"Udziały w zakładach powiązanych, w tym udziały kapitałowe",1 195 400,2023,Allianz
S020102,C0010,R0100,Akcje i udziały,0,2023,Allianz
S020102,C0010,R0110,Akcje i udziały – notowane,0,2023,Allianz
S020102,C0010,R0120,Akcje i udziały – nienotowane,0,2023,Allianz
S020102,C0010,R0130,Obligacje,3 932 839,2023,Allianz
S020102,C0010,R0140,Obligacje państwowe,3 818 193,2023,Allianz
S020102,C0010,R0150,Obligacje korporacyjne,112 823,2023,Allianz
S020102,C0010,R0160,Strukturyzowane papiery wartościowe,1 822,2023,Allianz
S020102,C0010,R0170,Zabezpieczone papiery wartościowe,0,2023,Allianz
S020102,C0010,R0180,Przedsiębiorstwa zbiorowego inwestowania,213 790,2023,Allianz
S020102,C0010,R0190,Instrumenty pochodne,3 558,2023,Allianz
S020102,C0010,R0200,Depozyty inne niż ekwiwalenty środków pieniężnych,107 968,2023,Allianz
S020102,C0010,R0210,Pozostałe lokaty,0,2023,Allianz
S020102,C0010,R0220,"Aktywa posiadane z tytułu ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",11 521 981,2023,Allianz
S020102,C0010,R0230,Pożyczki i pożyczki zabezpieczone hipotecznie,771 510,2023,Allianz
S020102,C0010,R0240,Pożyczki pod zastaw polisy,0,2023,Allianz
S020102,C0010,R0250,Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,0,2023,Allianz
S020102,C0010,R0260,Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,771 510,2023,Allianz
S020102,C0010,R0270,Kwoty należne z umów reasekuracji z tytułu:,-14 432,2023,Allianz
S020102,C0010,R0280,Innych niż ubezpieczenia na życie i zdrowotnych o charakterze ubezpieczeń innych niż ubezpieczenia na życie,-470,2023,Allianz
S020102,C0010,R0290,Innych niż ubezpieczenia na życie z wyłączeniem zdrowotnych,0,2023,Allianz
S020102,C0010,R0300,Zdrowotnych o charakterze ubezpieczeń innych niż ubezpieczenia na życie,-470,2023,Allianz
S020102,C0010,R0310,"Na życie i zdrowotnych o charakterze ubezpieczeń na życie, z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",-6 501,2023,Allianz
S020102,C0010,R0320,Zdrowotnych o charakterze ubezpieczeń na życie,-1 285,2023,Allianz
S020102,C0010,R0330,"Na życie z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",-5 216,2023,Allianz
S020102,C0010,R0340,"Ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",-7 462,2023,Allianz
S020102,C0010,R0350,Depozyty u cedentów,0,2023,Allianz
S020102,C0010,R0360,Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,64 798,2023,Allianz
S020102,C0010,R0370,Należności z tytułu reasekuracji biernej,21 475,2023,Allianz
S020102,C0010,R0380,"Pozostałe należności (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",234 748,2023,Allianz
S020102,C0010,R0390,Akcje własne (posiadane bezpośrednio),0,2023,Allianz
S020102,C0010,R0400,"Kwoty należne w odniesieniu do pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale które nie zostały jeszcze opłacone.",0,2023,Allianz
S020102,C0010,R0410,Środki pieniężne i ich ekwiwalenty,109 684,2023,Allianz
S020102,C0010,R0420,Pozostałe aktywa (niewykazane w innych pozycjach),0,2023,Allianz
S020102,C0010,R0500,Aktywa ogółem,18 171 269,2023,Allianz
S020102,C0010,R0510,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,88 112,2023,Allianz
S020102,C0010,R0520,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),0,2023,Allianz
S020102,C0010,R0530,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2023,Allianz
S020102,C0010,R0540,Najlepsze oszacowanie,0,2023,Allianz
S020102,C0010,R0550,Margines ryzyka,0,2023,Allianz
S020102,C0010,R0560,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia na życie),88 112,2023,Allianz
S020102,C0010,R0570,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2023,Allianz
S020102,C0010,R0580,Najlepsze oszacowanie,83 257,2023,Allianz
S020102,C0010,R0590,Margines ryzyka,4 855,2023,Allianz
S020102,C0010,R0600,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",1 339 155,2023,Allianz
S020102,C0010,R0610,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),-904 164,2023,Allianz
S020102,C0010,R0620,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2023,Allianz
S020102,C0010,R0630,Najlepsze oszacowanie,-1 074 028,2023,Allianz
S020102,C0010,R0640,Margines ryzyka,169 864,2023,Allianz
S020102,C0010,R0650,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",2 243 320,2023,Allianz
S020102,C0010,R0660,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2023,Allianz
S020102,C0010,R0670,Najlepsze oszacowanie,2 031 705,2023,Allianz
S020102,C0010,R0680,Margines ryzyka,211 615,2023,Allianz
S020102,C0010,R0690,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",9 623 502,2023,Allianz
S020102,C0010,R0700,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2023,Allianz
S020102,C0010,R0710,Najlepsze oszacowanie,9 267 014,2023,Allianz
S020102,C0010,R0720,Margines ryzyka,356 489,2023,Allianz
S020102,C0010,R0740,Zobowiązania warunkowe,0,2023,Allianz
S020102,C0010,R0750,Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe),132 991,2023,Allianz
S020102,C0010,R0760,Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,749,2023,Allianz
S020102,C0010,R0770,Zobowiązania z tytułu depozytów zakładów reasekuracji,0,2023,Allianz
S020102,C0010,R0780,Rezerwy z tytułu odroczonego podatku dochodowego,1 021 734,2023,Allianz
S020102,C0010,R0790,Instrumenty pochodne,82 197,2023,Allianz
S020102,C0010,R0800,Zobowiązania wobec instytucji kredytowych,2 933,2023,Allianz
